reference,population,targets,improvement_percent,lower_percent,upper_percent,confidence
frames,original-matched,512,28.543234702614473,22.519702563373713,34.08729099120277,0.975
frames,independent-validation,128,19.004646398645153,1.4447145039182798,32.220683586299124,0.975
random-mirrors,original-subset,192,54.73292390052931,45.754501784364635,62.61038438551997,0.95
staggered-two,independent-validation,128,-9.606755584089255,-31.57698577977042,7.460809741686454,0.975
