reference,population,targets,improvement_percent,lower_percent,upper_percent,target_win_percent,confidence
frames,original-matched,512,28.543234702614473,22.519702563373713,34.08729099120277,71.09375,0.975
frames,independent-validation,128,19.004646398645153,1.4447145039182798,32.220683586299124,70.3125,0.975
staggered-two,original-matched,512,9.016146353653065,2.072325916017858,15.308295348766677,51.171875,0.975
staggered-two,independent-validation,128,-9.606755584089255,-31.57698577977042,7.460809741686454,46.875,0.975
