cohort,target_id,replica,stream,regime,dimension,radius,gamma,strength,geometry,decoder,squared_angle_radians,hard_success
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.045807874692855376,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.24237204552625904,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.047897155518512494,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.04780025339683687,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.14826130649139374,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.053665132545565625,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.1392441590603274,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,0.1,1.0,0.0,frames,mirror-ac,0.1381758496485909,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,0.1,1.0,0.0,frames,mirror-ac,0.07578746254866436,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,0.1,1.0,0.0,frames,mirror-ac,0.19679800737643627,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,0.1,1.0,0.0,frames,mirror-ac,0.15352726221159915,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,0.1,1.0,0.0,frames,mirror-ac,0.09523713411503344,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,0.1,1.0,0.0,frames,mirror-ac,0.049840997961448974,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,0.1,1.0,0.0,frames,mirror-ac,0.11087349805234085,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,0.1,1.0,0.0,frames,mirror-ac,0.05076211674574799,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,0.1,1.0,0.0,frames,mirror-vc,0.11508331989834748,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,0.1,1.0,0.0,frames,mirror-vc,0.06492954499054653,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,0.1,1.0,0.0,frames,mirror-vc,0.16514207630989244,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,0.1,1.0,0.0,frames,mirror-vc,0.13385105708448294,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,0.1,1.0,0.0,frames,mirror-vc,0.10048672890374566,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,0.1,1.0,0.0,frames,mirror-vc,0.043754663808663906,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,0.1,1.0,0.0,frames,mirror-vc,0.10911421475952515,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,0.1,1.0,0.0,frames,mirror-vc,0.045166913683504076,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,frames,mirror-ac,0.1381758496485909,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,frames,mirror-ac,0.07578746254866436,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,frames,mirror-ac,0.19679800737643627,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,frames,mirror-ac,0.15352726221159915,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,frames,mirror-ac,0.09523713411503344,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,frames,mirror-ac,0.049840997961448974,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,1.0,0.0,frames,mirror-ac,0.11087349805234085,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,frames,mirror-ac,0.05076211674574799,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,frames,mirror-vc,0.11508331989834748,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,frames,mirror-vc,0.06492954499054653,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,frames,mirror-vc,0.16514207630989244,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,frames,mirror-vc,0.13385105708448294,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,frames,mirror-vc,0.10048672890374566,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,frames,mirror-vc,0.043754663808663906,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,1.0,0.0,frames,mirror-vc,0.10911421475952515,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,frames,mirror-vc,0.045166913683504076,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,10.0,1.0,0.0,frames,mirror-ac,0.1381758496485909,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,10.0,1.0,0.0,frames,mirror-ac,0.07578746254866436,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,10.0,1.0,0.0,frames,mirror-ac,0.19679800737643627,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,10.0,1.0,0.0,frames,mirror-ac,0.15352726221159915,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,10.0,1.0,0.0,frames,mirror-ac,0.09523713411503344,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,10.0,1.0,0.0,frames,mirror-ac,0.049840997961448974,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,10.0,1.0,0.0,frames,mirror-ac,0.11087349805234085,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,10.0,1.0,0.0,frames,mirror-ac,0.05076211674574799,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,10.0,1.0,0.0,frames,mirror-vc,0.11508331989834748,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,10.0,1.0,0.0,frames,mirror-vc,0.06492954499054653,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,10.0,1.0,0.0,frames,mirror-vc,0.16514207630989244,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,10.0,1.0,0.0,frames,mirror-vc,0.13385105708448294,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,10.0,1.0,0.0,frames,mirror-vc,0.10048672890374566,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,10.0,1.0,0.0,frames,mirror-vc,0.043754663808663906,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,10.0,1.0,0.0,frames,mirror-vc,0.10911421475952515,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,10.0,1.0,0.0,frames,mirror-vc,0.045166913683504076,
main,main/rep0-stream0-regime0-d50/0,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.18516167512343276,
main,main/rep0-stream0-regime0-d50/1,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.11874311183065195,
main,main/rep0-stream0-regime0-d50/2,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.12515242722202935,
main,main/rep0-stream0-regime0-d50/3,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.18763717439332236,
main,main/rep0-stream0-regime0-d50/4,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.16878138695290112,
main,main/rep0-stream0-regime0-d50/5,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.14187637130978736,
main,main/rep0-stream0-regime0-d50/6,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.19245806213927727,
main,main/rep0-stream0-regime0-d50/7,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.11362840573587217,
main,main/rep0-stream0-regime0-d50/0,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.18327901092431048,
main,main/rep0-stream0-regime0-d50/1,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.12085957087128577,
main,main/rep0-stream0-regime0-d50/2,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.13221238700414842,
main,main/rep0-stream0-regime0-d50/3,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.1683349103638639,
main,main/rep0-stream0-regime0-d50/4,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.1563437754155539,
main,main/rep0-stream0-regime0-d50/5,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.15432975806251525,
main,main/rep0-stream0-regime0-d50/6,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.17755418581449833,
main,main/rep0-stream0-regime0-d50/7,0,0,0,50,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.12965159113100558,
main,main/rep0-stream0-regime0-d50/0,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-ac,0.18516167512343276,
main,main/rep0-stream0-regime0-d50/1,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-ac,0.11874311183065195,
main,main/rep0-stream0-regime0-d50/2,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-ac,0.12515242722202935,
main,main/rep0-stream0-regime0-d50/3,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-ac,0.18763717439332236,
main,main/rep0-stream0-regime0-d50/4,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-ac,0.16878138695290112,
main,main/rep0-stream0-regime0-d50/5,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-ac,0.14187637130978736,
main,main/rep0-stream0-regime0-d50/6,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-ac,0.19245806213927727,
main,main/rep0-stream0-regime0-d50/7,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-ac,0.11362840573587217,
main,main/rep0-stream0-regime0-d50/0,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-vc,0.18327901092431048,
main,main/rep0-stream0-regime0-d50/1,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-vc,0.12085957087128577,
main,main/rep0-stream0-regime0-d50/2,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-vc,0.13221238700414842,
main,main/rep0-stream0-regime0-d50/3,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-vc,0.1683349103638639,
main,main/rep0-stream0-regime0-d50/4,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-vc,0.1563437754155539,
main,main/rep0-stream0-regime0-d50/5,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-vc,0.15432975806251525,
main,main/rep0-stream0-regime0-d50/6,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-vc,0.17755418581449833,
main,main/rep0-stream0-regime0-d50/7,0,0,0,50,1.0,1.0,0.0,staggered-cycle,mirror-vc,0.12965159113100558,
main,main/rep0-stream0-regime0-d50/0,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-ac,0.18516167512343276,
main,main/rep0-stream0-regime0-d50/1,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-ac,0.11874311183065195,
main,main/rep0-stream0-regime0-d50/2,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-ac,0.12515242722202935,
main,main/rep0-stream0-regime0-d50/3,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-ac,0.18763717439332236,
main,main/rep0-stream0-regime0-d50/4,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-ac,0.16878138695290112,
main,main/rep0-stream0-regime0-d50/5,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-ac,0.14187637130978736,
main,main/rep0-stream0-regime0-d50/6,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-ac,0.19245806213927727,
main,main/rep0-stream0-regime0-d50/7,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-ac,0.11362840573587217,
main,main/rep0-stream0-regime0-d50/0,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.18327901092431048,
main,main/rep0-stream0-regime0-d50/1,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.12085957087128577,
main,main/rep0-stream0-regime0-d50/2,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.13221238700414842,
main,main/rep0-stream0-regime0-d50/3,0,0,0,50,10.0,1.0,0.0,staggered-cycle,mirror-vc,0.1683349103638639,
