cohort,target_id,replica,stream,regime,dimension,radius,gamma,strength,geometry,decoder,squared_angle_radians,hard_success
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,staggered-two,quadratic-ac,0.0005166085853920962,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.00026092129272665683,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.00043042944302747627,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0001917556544300408,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0004305166854348825,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,staggered-two,quadratic-vc,8.790357844354557e-05,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0001580570523438202,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0005419135795128457,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0004040743933526562,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.000620799260645906,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.00027754071013356567,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.004743397963536647,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0007040586434515161,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0020066613184896356,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0008227133311979508,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0008243465219501443,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0006482650326631534,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0006794367912988226,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0003131207427818156,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.005489942218334842,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0008461029989708767,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0021396399955025567,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0009252888526640585,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0007986304509363451,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0006221652188609831,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,frames,quadratic-ac,0.00046289006133943877,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,frames,quadratic-ac,0.00023254053323533975,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,frames,quadratic-ac,0.00012581870620674535,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,frames,quadratic-ac,0.0001441289296369669,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,frames,quadratic-ac,0.0004909314200642538,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,frames,quadratic-ac,0.00019474358019983315,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,1.0,0.0,frames,quadratic-ac,0.00041496486333734674,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,frames,quadratic-ac,0.0005016713617405725,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,frames,quadratic-vc,0.0005293981045990492,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,frames,quadratic-vc,0.00021219867675179458,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,frames,quadratic-vc,0.00015669933512006427,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,frames,quadratic-vc,0.00012355685043383748,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,frames,quadratic-vc,0.0005030552841936514,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,frames,quadratic-vc,0.00015985050908753743,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,1.0,0.0,frames,quadratic-vc,0.0004167796760725349,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,frames,quadratic-vc,0.0005000833345917062,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,10.0,1.0,0.0,frames,quadratic-ac,0.0006851445427058916,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,10.0,1.0,0.0,frames,quadratic-ac,0.002758383927238046,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,10.0,1.0,0.0,frames,quadratic-ac,0.0007380073607753553,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,10.0,1.0,0.0,frames,quadratic-ac,0.0013295428771308202,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,10.0,1.0,0.0,frames,quadratic-ac,0.002265431867707026,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,10.0,1.0,0.0,frames,quadratic-ac,0.002044510035136782,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,10.0,1.0,0.0,frames,quadratic-ac,0.0011439372243919248,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,10.0,1.0,0.0,frames,quadratic-ac,0.000854441836397899,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,10.0,1.0,0.0,frames,quadratic-vc,0.0008012697928783045,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,10.0,1.0,0.0,frames,quadratic-vc,0.0031216299820213136,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,10.0,1.0,0.0,frames,quadratic-vc,0.0009314803082174256,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,10.0,1.0,0.0,frames,quadratic-vc,0.0013689288439934799,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,10.0,1.0,0.0,frames,quadratic-vc,0.0023010223195471654,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,10.0,1.0,0.0,frames,quadratic-vc,0.0020585446259188023,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,10.0,1.0,0.0,frames,quadratic-vc,0.0011803048333168828,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,10.0,1.0,0.0,frames,quadratic-vc,0.0006206581629277693,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0002672657434713744,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0002137481962204661,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.000475700779787525,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.00011571772181991705,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.00034286443034015036,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0003242941542265036,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.00015439019326686572,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.00019070686521460869,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00025685875566420943,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00017023454649170384,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00039162648312685076,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00011839919765106225,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0003224501340443367,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00034147545815675233,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00012057019884480745,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0002229683869741763,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.002146132537623973,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0020130700556793206,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0005732157821369971,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0027973218041246607,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.005744890653025396,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0024329365617275747,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0007830800760991644,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0017608196330158974,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0017726091810431755,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.001827452847621898,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0003525859279049177,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.002490204718239059,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.004971608336448115,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0022356021187788385,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0005711850834188039,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0010950703277556745,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-ac,0.00026327573335431254,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-ac,0.0002612586078911623,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-ac,0.0015968436597501394,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-ac,0.00035313431081465576,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-ac,0.00017137591603579516,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-ac,0.0004888094297978841,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-ac,0.00022111852306028272,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-ac,0.00043896611456880464,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.00028634073659041155,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0002558146154951144,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0013137115967724248,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0003424002135860219,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.00016480136764615417,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0004803439861102775,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.0001627126988492708,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,1.0,1.0,0.0,staggered-two,quadratic-vc,0.00040360130144249636,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0010554243014756898,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0024398464978791605,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0012711020607045222,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0024025832492776296,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0012280651049667737,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0007050030993164023,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0011264720543564647,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-ac,0.0015560555326785438,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0012949610946051222,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.002396137705505473,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0012600470737222371,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0025037588021442035,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0012356536573347886,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0006862322452069712,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0012095390426809668,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,10.0,1.0,0.0,staggered-two,quadratic-vc,0.0012272211223604056,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,1.0,1.0,0.0,frames,quadratic-ac,0.0004773026920403731,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,1.0,1.0,0.0,frames,quadratic-ac,0.00026225789269386984,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,1.0,1.0,0.0,frames,quadratic-ac,0.00026814664010103617,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,1.0,1.0,0.0,frames,quadratic-ac,0.0001171892668838204,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,1.0,1.0,0.0,frames,quadratic-ac,0.0006014608107002339,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,1.0,1.0,0.0,frames,quadratic-ac,0.0002166996583734414,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,1.0,1.0,0.0,frames,quadratic-ac,0.0002736366210192651,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,1.0,1.0,0.0,frames,quadratic-ac,0.0003597177533355086,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,1.0,1.0,0.0,frames,quadratic-vc,0.0004715865565029372,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,1.0,1.0,0.0,frames,quadratic-vc,0.00025266599386928777,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,1.0,1.0,0.0,frames,quadratic-vc,0.00023885516131176465,
independent,independent/rep0-stream0-regime1-d10/3,0,0,1,10,1.0,1.0,0.0,frames,quadratic-vc,0.00011675153737742555,
independent,independent/rep0-stream0-regime1-d10/4,0,0,1,10,1.0,1.0,0.0,frames,quadratic-vc,0.0006090856289661399,
independent,independent/rep0-stream0-regime1-d10/5,0,0,1,10,1.0,1.0,0.0,frames,quadratic-vc,0.000228569908099373,
independent,independent/rep0-stream0-regime1-d10/6,0,0,1,10,1.0,1.0,0.0,frames,quadratic-vc,0.0002679028368406814,
independent,independent/rep0-stream0-regime1-d10/7,0,0,1,10,1.0,1.0,0.0,frames,quadratic-vc,0.00034561052106557664,
independent,independent/rep0-stream0-regime1-d10/0,0,0,1,10,10.0,1.0,0.0,frames,quadratic-ac,0.0034770410874618925,
independent,independent/rep0-stream0-regime1-d10/1,0,0,1,10,10.0,1.0,0.0,frames,quadratic-ac,0.0033597041558781227,
independent,independent/rep0-stream0-regime1-d10/2,0,0,1,10,10.0,1.0,0.0,frames,quadratic-ac,0.002694037310420065,
